	BMAL1 (ARNTL)	CLOCK	CRY1	DEC1 (BHLHB2)	NPAS2	RORC	PPP2R5E	PER2	PER1	PPP1CC	CSNK2A1	CSNK2A2	NR1D2	PPP2R1A	PPP2R1B	NONO	NFIL3	DBP	RORA	PER3	NR1D1	FBXL3	HSP90AA1	KAT2B	HLF	CREBBP	CREM	TEF	DNMT3A	DNMT3B	HCFC1	MCC	NME1	PXN	PSPC1	RBBP5	NCOA2	NCOA1	SP1	CUL4B	CUL4A	NCOR1
44	3950.4	2547.85	10506.1	9159.3	70.2	3418.5	3105.8999999999996	392.0	483.0	52426.0	6657.2	2571.3	5737.549999999999	11215.8	3860.5	24611.8	3781.9	1149.95	15062.8	124.7	111.9	4322.7	77335.86666666665	29981.0	637.4	1583.9	3775.9	2420.9666666666667	140.3	277.3	1277.5	3129.1	36247.1	4121.8	611.2	2498.1	6033.0	1041.0	6501.1	2339.1	6759.7	10504.0
45	4800.3	2368.7749999999996	11455.7	9272.8	91.0	2923.95	3423.8	279.1	475.5	53644.5	5567.7	3350.3	4430.2	13973.4	4607.7	22383.5	4533.8	643.8	13751.7	104.95	113.7	3895.9	62261.333333333336	32398.4	928.8	2264.1	3628.3500000000004	2065.7000000000003	140.0	325.9	1729.6	3856.2	29935.7	5703.1	588.8	2500.0	7066.9	1158.9	7879.0	2730.8	6700.5	10710.35
46	3870.7	2636.225	7635.8	6239.0	112.5	2279.6000000000004	2430.85	140.1	495.0	58358.9	6626.5	2461.3500000000004	4827.0	11651.9	4242.1	23729.9	4235.8	563.6	13377.3	105.95	122.4	3989.2	55683.666666666664	31282.1	399.6	1306.1	4031.35	1368.3666666666668	118.8	214.3	1016.7	3718.6	36212.3	3735.9	591.0	1848.1	5640.8	727.6	6437.1	2772.3	5940.2	10434.45
47	5197.4	2483.9	8095.3	12184.5	476.5	1730.95	2994.9	143.15	471.0	59523.9	6079.6	3290.95	3157.3	13581.9	4756.7	21725.9	3308.4	191.25	10442.2	77.95	122.6	3270.9	49868.9	36225.6	541.5	2030.7	4357.65	1054.0666666666666	143.7	501.7	1599.9	4243.4	31952.3	4651.3	429.5	2522.3	6486.9	1112.5	7075.0	2322.6	6364.0	12932.15
48	4231.2	2662.8	7293.0	4801.7	360.3	1447.8	2966.8500000000004	138.7	482.9	51811.7	6159.9	2655.2	3199.0499999999997	13690.1	4693.1	23820.8	4601.9	251.6	9323.3	91.8	157.2	3365.7	53441.666666666664	36624.3	625.0	1422.7	4026.7999999999997	1140.7666666666667	138.7	428.5	1418.5	3129.8	30559.4	4708.7	435.2	2621.2	6512.8	1095.7	7226.4	1858.4	6504.7	12050.05
49	5100.8	2503.625	5470.3	2618.2	442.0	1458.35	3163.85	135.45	490.8	52794.3	6223.6	3352.7	4799.55	15011.8	4707.6	23089.2	6800.1	239.10000000000002	11102.1	96.55	136.6	3622.0	47747.0	37975.3	537.9	1639.4	2630.75	962.6666666666666	140.5	497.6	1793.2	4274.7	29253.0	5997.7	683.4	2187.2	6331.3	1321.0	7812.3	2145.7	6263.5	11868.400000000001
50	4537.7	2842.2250000000004	5217.1	2942.7	283.5	1221.95	3335.6499999999996	196.9	456.4	56375.3	6185.4	3474.1499999999996	7059.55	14895.4	5302.6	24451.2	5993.9	480.5	11490.9	101.9	470.1	3530.9	71736.5	33196.0	647.2	1959.7	3258.1499999999996	1130.0	141.8	846.7	2140.4	2979.9	32058.0	6333.6	821.6	2901.6	6238.1	1271.1	9289.5	2409.9	6928.1	12766.75
51	4502.3	2445.375	3638.4	3689.2	238.9	1220.8	3260.45	133.7	377.7	54016.8	7215.9	3203.3999999999996	9744.25	15430.0	4682.1	25564.0	5049.3	819.4	11505.1	78.55000000000001	762.0	4690.1	60899.56666666667	36241.6	574.3	2080.5	3663.65	1008.2333333333332	142.5	229.0	1962.4	3124.5	38523.2	5418.8	887.8	2683.1	6034.2	1260.2	7274.9	2419.9	6436.6	11214.45
52	3430.9	2319.325	2814.1	4612.1	104.6	958.6	3138.2	154.25	484.4	58007.7	6226.6	3497.0	11905.550000000001	18827.1	5245.4	26324.4	3943.6	2103.7	11273.6	96.45	1296.8	4559.7	39360.0	41708.6	545.0	2326.6	3072.05	1660.533333333333	164.4	229.6	2499.0	3353.2	29461.4	6970.3	1147.8	2409.4	6880.5	1307.2	7837.7	2347.2	6579.0	11034.85
53	319.0	1864.55	1560.1	18538.0	69.7	1082.25	3271.35	355.2	478.0	70673.2	7071.2	3471.25	29282.95	16059.6	4974.1	24340.7	1008.8	37656.45	9852.6	323.15	2147.2	4805.2	32279.13333333333	46373.8	896.6	3002.5	3236.85	4451.666666666667	181.7	135.6	2459.3	3371.8	25797.8	7178.3	668.9	2558.4	9368.3	1649.2	8858.8	2601.6	6522.4	13032.75
54	442.9	1780.6000000000001	818.3	12159.2	67.4	990.3000000000001	3019.6	187.5	450.8	63907.1	5838.3	3434.4	29480.4	15511.0	5145.2	26576.6	1868.9	29801.15	9957.9	199.45	2307.9	4736.2	41718.066666666666	42859.1	788.3	2035.3	3058.6499999999996	3699.5	152.1	169.2	1828.9	3741.9	32976.0	7815.4	664.2	2485.1	7399.0	1122.4	7121.9	2943.1	6990.7	11900.9
55	1128.2	2159.475	1531.3	5751.0	72.1	984.4000000000001	3154.25	134.1	461.7	65678.9	6029.1	3233.3500000000004	22247.4	14275.2	5146.0	26538.0	2264.1	9428.9	9781.3	144.4	1260.6	4601.6	37342.13333333333	44574.9	544.7	2169.7	3408.85	2463.7999999999997	231.4	210.7	1931.2	4052.0	28394.6	5941.8	854.6	2478.9	7788.9	1100.0	8408.8	2894.9	6868.9	11431.55
56	129.7	1305.95	1227.3	14768.9	70.0	1069.6	3980.45	398.1	856.5	70969.6	6336.9	3439.2999999999997	32491.45	14530.4	4380.8	23739.3	1091.8	57727.05	8921.1	689.55	1247.2	4750.5	22071.166666666668	49238.2	944.7	2067.5	1995.05	6152.066666666667	143.4	172.1	1967.5	3492.4	25958.9	6205.2	574.8	2128.3	8896.6	1307.0	7644.8	2711.9	7364.9	11196.8
57	186.3	938.625	1501.4	21700.1	72.9	1157.95	3932.8	684.35	1006.6	66396.3	5614.4	3429.35	31903.15	14961.4	4080.7	23004.7	785.6	55957.5	9149.5	618.9499999999999	508.1	3732.6	30640.100000000002	47711.0	831.3	2078.6	2169.4	6380.133333333334	143.6	84.4	1929.5	2957.6	27732.1	5209.3	587.6	2091.4	8422.4	1214.6	7377.5	2677.2	7934.3	12948.300000000001
58	147.0	890.4250000000001	2308.7	16140.3	70.8	1137.3	4575.75	678.9499999999999	1166.5	63511.6	5767.0	3001.7	29275.35	14072.4	3593.2	23379.2	1332.2	53687.25	8981.2	739.4000000000001	430.6	3512.7	27422.86666666667	46963.3	1097.4	2035.4	2070.55	7124.266666666666	170.6	68.2	1874.1	3301.0	25415.5	5834.6	857.3	2403.4	8001.5	1725.6	6935.6	2726.3	8956.6	10533.75
59	545.1	1078.35	1912.8	11233.1	72.2	1174.8	4281.0	591.05	1143.6	67268.7	6171.1	3426.1499999999996	29122.5	14290.8	3998.3	22953.1	1638.3	34471.65	9352.5	608.85	460.0	4254.6	25700.533333333336	51416.0	903.9	2559.1	2280.65	6218.5	151.4	136.4	2242.6	3534.7	26595.3	5256.0	718.2	2362.7	10022.5	1289.2	7397.9	2825.1	8233.4	12298.25
60	185.1	1121.0500000000002	5114.4	9187.1	71.9	1465.0	4672.95	1304.6499999999999	969.0	72998.9	4567.0	3008.35	26924.050000000003	9575.8	2839.3	22067.3	1702.4	17091.05	8064.3	479.45	121.9	3793.5	52047.5	58274.1	1115.5	2408.6	2270.6	5288.933333333333	182.3	87.0	1784.7	2281.9	26884.2	4282.7	460.9	1877.2	7278.9	1144.7	6429.9	2827.5	8676.3	10503.0
61	285.4	1405.525	2241.4	7455.8	88.8	1158.0	3522.8	603.0	505.6	67948.5	6486.8	1886.0	20688.850000000002	4745.0	2511.0	24357.6	585.6	10698.15	10149.5	138.65	125.2	3560.4	68511.33333333333	45821.5	544.5	311.5	3106.35	2952.933333333333	142.2	182.1	417.5	1261.4	37230.3	1814.4	386.7	1338.3	3663.9	417.1	4424.5	2695.5	6970.9	6206.35
62	643.4	1801.6	3832.0	6234.1	74.3	1583.55	3829.4	1075.1	494.8	62412.9	4893.1	1786.0500000000002	11514.3	6397.4	2401.0	23440.7	1512.1	5231.85	8261.3	161.1	123.2	2822.8	93879.36666666665	36251.9	695.4	383.4	2620.7	2830.9	142.0	195.6	579.4	1126.3	34415.2	2411.6	593.9	1463.8	3669.5	608.1	5054.6	2070.5	6826.9	6420.5
63	1018.0	1995.25	4857.1	9124.0	72.4	1569.6	3708.15	681.1	500.3	53581.7	6131.2	1990.35	12541.800000000001	6783.1	2715.5	21944.9	1515.3	5295.450000000001	8789.8	177.39999999999998	122.7	3434.1	97344.43333333335	34239.9	861.3	608.5	2608.0	2685.233333333333	144.8	197.2	591.3	1258.1	35476.2	2789.8	537.9	1863.3	4529.6	734.3	5844.2	2257.3	7354.0	7790.7
64	1050.2	1753.625	4369.5	5086.8	73.9	1682.85	3458.45	694.1999999999999	497.3	54804.9	5008.4	1906.95	13562.25	6348.5	2884.1	22098.7	1209.0	4098.2	9469.3	168.45	120.7	3296.3	99023.93333333335	31296.9	591.8	390.4	2668.0	2668.9666666666667	144.6	197.0	653.9	1743.6	39081.6	2878.3	355.7	1883.6	4313.3	879.9	6018.0	1977.1	7002.8	8453.75
65	1780.3	2171.6	6921.2	5435.2	76.6	2555.55	2891.45	672.95	475.2	53717.8	3210.4	1700.7	8936.800000000001	7453.8	3290.6	21958.3	1783.5	1599.2	9471.3	116.30000000000001	114.4	3403.7	99610.23333333334	29203.4	579.0	554.6	2936.25	2537.5333333333333	143.1	173.7	521.2	2566.8	38751.0	2439.3	464.7	1919.6	4175.5	580.0	5446.8	1912.7	6645.9	7924.55
