	BMAL1 (ARNTL)	CLOCK	CRY1	CRY2	CSNK2B	DEC1 (BHLHB2)	NPAS2	CIPC (KIAA1737)	RORC	DEC2 (BHLHB3)	PPP2R5D	PPP2R5E	PER2	PER1	CSNK1E	PPP1CC	CSNK2A1	CSNK2A2	NR1D2	EZH2	FBXL15	PPP1CA	PPP1CB	PPP2R1A	PPP2R1B	GSK3B	FBXW11	NONO	WDR5	CSNK1D	PPP2CA	RORB	NFIL3	RASD1	PRKACA	BMAL2 (ARNTL2)	DBP	RORA	PPP2CB	PER3	TIMELESS (TIM)	PPP5C	PRKCA	BTRC	NR1D1	FBXL3
28	1978.9	2619.6	1526.2	1516.9	17503.9	3584.7	78.25	2374.7999999999997	990.65	51.25	550.1	4077.1799999999994	103.83333333333333	290.3	86.39999999999999	35374.9	2868.5	1457.3000000000002	17023.25	473.0	337.9	18745.1	18265.725000000002	14557.76	4327.4	1215.4333333333334	9841.02	7962.375	1651.3000000000002	5119.24	12284.400000000001	69.63333333333333	3035.2	47.7	6505.95	55.7	4957.849999999999	4910.6	2883.25	118.63333333333334	53.25	2255.233333333333	90.56666666666668	414.8	865.8	2068.4333333333334
29	1470.5	2087.425	1530.6	2026.8	24115.2	9486.8	62.9	2172.2666666666664	1008.1500000000001	51.65	1077.6	4210.34	122.16666666666667	463.8	84.89999999999999	34484.15	2472.1	1564.4833333333336	19971.3	286.5	322.5	26260.6	19963.524999999998	17726.920000000002	4744.0	1122.8	9915.7	7716.824999999999	1952.6	5999.3	13096.666666666666	70.33333333333333	2380.1	47.7	7649.65	55.65	11452.300000000001	3641.2999999999997	3348.3	111.59999999999998	53.25	2367.1666666666665	113.46666666666665	403.96	1875.2	2540.9
30	650.9	1640.375	1340.9	2128.2	26081.8	14185.1	64.3	2191.4	1072.4	52.25	776.4	5704.820000000001	152.16666666666666	486.4	88.03333333333335	35316.549999999996	2369.683333333333	1645.75	24834.25	340.8	323.8	30979.0	20521.324999999997	16407.64	5145.6	1269.1333333333332	9926.039999999997	7229.150000000001	1881.65	6482.339999999999	12734.433333333332	70.66666666666667	1407.3	48.4	7617.45	56.8	31938.699999999997	3916.8999999999996	3809.5499999999997	131.81666666666663	56.1	2723.733333333333	93.76666666666665	405.71999999999997	2352.8	2846.9
31	129.3	1516.8249999999998	1481.8	3320.7	22884.0	18930.7	62.25	2803.1666666666665	877.1	51.8	900.6	6847.280000000001	220.66666666666666	1020.9	89.23333333333333	37061.700000000004	2662.3999999999996	2144.4166666666665	26677.15	329.9	322.2	22852.0	18876.325	17029.56	5181.5	1658.9166666666667	10306.62	7580.75	2043.25	5621.82	12798.533333333333	69.96666666666667	1107.1	48.1	8373.25	56.15	60315.0	5179.111111111111	2961.7999999999997	657.3	53.5	2628.8333333333335	94.63333333333333	355.02	3360.5	1994.9000000000003
32	126.4	1232.85	1730.7	3268.5	20497.1	16924.5	60.25	2983.933333333334	985.75	51.599999999999994	987.2	6928.4	311.90000000000003	612.9	89.96666666666665	38730.95	2651.883333333333	1832.8499999999997	33214.15	394.5	306.2	22950.3	20006.075	15337.86	4233.4	1622.25	9874.22	7321.5	1820.0500000000002	5827.820000000001	11546.866666666667	73.36666666666667	1323.3	47.5	6409.25	55.349999999999994	57775.8	4884.000000000001	3039.2999999999997	488.84999999999997	52.95	2631.4999999999995	93.96666666666665	372.17999999999995	2512.3	2034.9333333333332
33	146.8	807.45	2087.7	3513.2	20426.4	22355.8	63.05	3848.3333333333335	1146.65	52.7	915.7	7434.7	614.6	1182.0	92.53333333333332	39156.1	2442.7499999999995	1952.8500000000001	33684.450000000004	328.7	225.4	21253.6	24162.9	14700.220000000001	3939.8	1430.3500000000001	8942.98	7451.9	1843.9	5894.64	12036.566666666666	72.13333333333334	1226.2	49.2	7141.1	58.4	73991.4	4822.1	2812.85	968.3833333333333	54.35	2266.233333333333	112.93333333333334	348.94	1036.9	1869.5999999999997
34	131.2	742.75	1820.0	2359.1	26700.8	14648.1	62.5	2811.4	1035.95	52.3	1058.1	7042.9	362.4666666666667	818.1	98.96666666666665	40669.2	2409.2833333333333	1753.5	30297.75	308.1	323.6	25327.8	16507.625	18185.32	4256.7	1481.9333333333334	9948.039999999999	7110.300000000001	2122.65	6335.460000000001	13222.966666666667	71.39999999999999	953.0	48.5	6626.5	58.099999999999994	62825.399999999994	3514.5777777777776	3069.35	282.3666666666667	53.85	2535.3333333333335	98.23333333333333	344.52	921.2	2026.1666666666667
35	110.3	771.125	3193.9	2548.0	29496.2	22986.1	65.1	3456.366666666667	1459.45	51.05	846.5	6862.460000000001	589.3	534.4	92.3	39072.05	2470.3166666666666	1763.1666666666667	23105.800000000003	299.1	345.5	26109.1	17714.875	17448.559999999998	3560.7	1137.2	10206.14	6820.0	2000.25	5976.58	13425.066666666666	68.63333333333333	1465.5	48.1	7175.05	56.199999999999996	48658.6	3430.733333333333	3757.0	200.35	53.0	2750.1666666666665	95.2	410.98	313.9	1786.6333333333332
36	140.5	859.875	2658.8	2787.0	32308.3	18109.4	61.449999999999996	3253.8999999999996	1348.15	51.4	1187.6	6000.04	385.09999999999997	672.1	95.03333333333335	37855.15	2558.6	1574.6500000000003	24477.850000000002	236.3	601.4	27178.3	19793.975000000002	14956.679999999998	4004.8	1240.9166666666667	9289.579999999998	6516.5	2150.3	5710.8	13378.266666666668	70.43333333333334	1496.6	48.0	5839.349999999999	56.4	41122.25	4070.755555555556	3760.75	218.29999999999998	53.349999999999994	2749.8333333333335	87.26666666666667	406.88	369.1	2167.1666666666665
37	323.7	1008.35	5441.1	2593.3	25293.0	20263.4	61.849999999999994	3862.5	1496.9	52.099999999999994	859.3	7242.240000000001	727.9333333333334	885.5	87.2	38578.200000000004	2434.516666666667	1623.8333333333333	22816.95	308.3	500.5	23155.7	19054.249999999996	15415.079999999998	3492.7	1198.4833333333333	9749.039999999999	7072.124999999999	1666.1	5960.4	12794.533333333335	69.53333333333335	1713.8	48.2	6303.85	56.650000000000006	27158.3	3990.1666666666665	3484.5	246.86666666666665	53.7	2797.3333333333335	89.56666666666668	358.29999999999995	157.4	1722.1333333333332
