affy	entrez	Species	Gene Name
1451933_a_at	56092	Mus musculus	cathepsin 7(Cts7)
1457770_at	213053	Mus musculus	solute carrier family 39 (zinc transporter), member 14(Slc39a14)
1444176_at	242341	Mus musculus	ATPase, H+ transporting, lysosomal V0 subunit D2(Atp6v0d2)
1435500_at	328778	Mus musculus	RAB26, member RAS oncogene family(Rab26)
1431952_at	75833	Mus musculus	RIKEN cDNA 4930532I03 gene(4930532I03Rik)
1438733_at	71131	Mus musculus	zinc finger protein 689(Zfp689)
1426846_at	320394	Mus musculus	centromere protein T(Cenpt)
1440029_at	20451	Mus musculus	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3(St8sia3)
1456826_at	381921	Mus musculus	TAO kinase 2(Taok2)
1416090_at	68263	Mus musculus	pyruvate dehydrogenase (lipoamide) beta(Pdhb)
1453016_at	72938	Mus musculus	heat shock protein family B (small), member 11(Hspb11)
1430684_s_at	67620	Mus musculus	Lrp2 binding protein(Lrp2bp)
1451042_a_at	67014	Mus musculus	myc induced nuclear antigen(Mina)
1449352_at	56626	Mus musculus	polymerase (DNA directed), lambda(Poll)
1419685_at	19704	Mus musculus	UPF1 regulator of nonsense transcripts homolog (yeast)(Upf1)
1424332_at	224624	Mus musculus	Rab40C, member RAS oncogene family(Rab40c)
1416619_at	74048	Mus musculus	V-set immunoregulatory receptor(Vsir)
1434027_at	53902	Mus musculus	regulator of calcineurin 3(Rcan3)
1459929_at	243905	Mus musculus	zinc finger protein 568(Zfp568)
1417782_at	67260	Mus musculus	ceramide synthase 4(Cers4)
1423634_at	57911	Mus musculus	gasdermin A(Gsdma)
1433940_at	216873	Mus musculus	sperm associated antigen 7(Spag7)
1419024_at	19243	Mus musculus	protein tyrosine phosphatase 4a1(Ptp4a1)
1416370_at	22697	Mus musculus	zinc finger and SCAN domain containing 21(Zscan21)
1421055_at	50523	Mus musculus	large tumor suppressor 2(Lats2)
1428380_at	381629	Mus musculus	all-trans retinoic acid induced differentiation factor(Atraid)
1454745_at	214137	Mus musculus	Rho GTPase activating protein 29(Arhgap29)
1457375_at	70153	Mus musculus	RIKEN cDNA 2210016F16 gene(2210016F16Rik)
1430468_at	72773	Mus musculus	RIKEN cDNA 2810449G22 gene(2810449G22Rik)
1436211_at	21681	Mus musculus	Aly/REF export factor(Alyref)
1420571_at	19111	Mus musculus	prolactin family 6, subfamily a, member 1(Prl6a1)
1431231_at	260423	Mus musculus	histone cluster 1, H3f(Hist1h3f)
1452374_at	218100	Mus musculus	zinc finger protein 322A(Zfp322a)
1452098_at	214901	Mus musculus	CTF18, chromosome transmission fidelity factor 18(Chtf18)
1423903_at	52118	Mus musculus	poliovirus receptor(Pvr)
1458140_at	20563	Mus musculus	slit homolog 2 (Drosophila)(Slit2)
1431119_at	69387	Mus musculus	DnaJ heat shock protein family (Hsp40) member B13(Dnajb13)
1455101_at	215789	Mus musculus	phosphatase and actin regulator 2(Phactr2)
1421078_at	69852	Mus musculus	transcription factor 23(Tcf23)
1456348_x_at	74090	Mus musculus	progestin and adipoQ receptor family member V(Paqr5)
1450631_x_at	100038927	Mus musculus	defensin, alpha, 30(Defa30)
1417747_at	12889	Mus musculus	complexin 1(Cplx1)
1425548_a_at	16988	Mus musculus	leukocyte specific transcript 1(Lst1)
1446830_at	100274	Mus musculus	expressed sequence AU015892(AU015892)
1421630_at	22767	Mus musculus	zinc finger protein 1, Y-linked(Zfy1)
1424954_a_at	18717	Mus musculus	phosphatidylinositol-4-phosphate 5-kinase, type 1 gamma(Pip5k1c)
1443068_at	403348	Mus musculus	RIKEN cDNA D130084N16 gene(D130084N16Rik)
1427765_a_at	21580	Mus musculus	T cell receptor beta, joining region(Tcrb-J)
